"Skola","SkolaNew","Pieteikti","Est5To12","RakstVieta","Notes"
"A. Spāģa Dunalkas pamatskola","A. Spāģa Dunalkas pamatskola",1,17,"Liepāja",
"Aglonas internātvidusskola","Aglonas internātvidusskola",3,77,"Daugavpils",
"Aglonas vidusskola","Aglonas vidusskola",8,107,"Daugavpils",
"Aizkraukles novada ģimnāzija","Aizkraukles novada ģimnāzija",8,300,"Rīga",
"Aizkraukles pilsētas sākumskola","Aizkraukles pilsētas sākumskola",5,135,"Rīga",
"Aizputes vidusskola","Aizputes vidusskola",14,285,"Liepāja",
"Aizupes pamatskola","Aizupes pamatskola",2,91,"Rīga",
"Allažu pamatskola","Allažu pamatskola",8,64,"Rīga",
"Alūksnes pilsētas sākumskola","Alūksnes pilsētas sākumskola",2,0,"Rīga",
"Amatas novada Amatas pamatskola","Amatas pamatskola",2,53,"Rīga",
"Andreja Eglīša Ļaudonas vidusskola","Andreja Eglīša Ļaudonas vidusskola",15,117,"Rīga",
"Andreja Pumpura Rīgas 11. pamatskola","Andreja Pumpura Rīgas 11. pamatskola",19,0,"Rīga",
"Andreja Upīša Skrīveru vidusskola","Andreja Upīša Skrīveru vidusskola",10,208,"Rīga",
"Andrupenes pamatskola","Andrupenes pamatskola",4,42,"Daugavpils",
"Andzeļu pamatskola","Andzeļu pamatskola",2,27,"Daugavpils",
"Ata Kronvalda Durbes vidusskola","Ata Kronvalda Durbes vidusskola",13,72,"Liepāja",
"Auces vidusskola","Auces vidusskola",1,0,"Rīga",
"Austrumlatvijas Tehnoloģiju vidusskola","Austrumlatvijas Tehnoloģiju vidusskola",3,26,"Daugavpils",
"Ādažu vidusskola","Ādažu vidusskola",23,647,"Rīga",
"Āgenskalna sākumskola","Āgenskalna sākumskola",23,175,"Rīga",
"Āgenskalna Valsts ģimnāzija","Āgenskalna Valsts ģimnāzija",74,781,"Rīga",
"Babītes vidusskola","Babītes vidusskola",12,417,"Rīga",
"Baldones Mūzikas pamatskola","Baldones Mūzikas pamatskola",2,70,"Rīga",
"Baložu vidusskola","Baložu vidusskola",4,0,"Rīga",
"Balvu pamatskola","Balvu pamatskola",12,154,"Rīga",
"Balvu Valsts ģimnāzija","Balvu Valsts ģimnāzija",5,0,"Rīga",
"Bauskas sākumskola","Bauskas sākumskola",12,0,"Rīga",
"Bauskas Valsts ģimnāzija","Bauskas Valsts ģimnāzija",8,0,"Rīga",
"Bārtas pamatskola","Bārtas pamatskola",2,17,"Liepāja",
"Bejas pamatskola","Bejas pamatskola",2,48,"Rīga",
"Bērzaunes pamatskola","Bērzaunes pamatskola",1,0,"Rīga",
"Brocēnu vidusskola","Brocēnu vidusskola",18,0,"Liepāja",
"Carnikavas pamatskola","Carnikavas pamatskola",10,117,"Rīga",
"Cēsu 1. pamatskola","Cēsu 1. pamatskola",16,151,"Rīga",
"Cēsu 2. pamatskola","Cēsu 2. pamatskola",11,187,"Rīga",
"Cēsu pilsētas Pastariņa sākumskola","Cēsu pilsētas Pastariņa sākumskola",6,55,"Rīga",
"Cēsu Pilsētas vidusskola","Cēsu Pilsētas vidusskola",24,369,"Rīga",
"Cēsu Valsts ģimnāzija","Cēsu Valsts ģimnāzija",79,0,"Rīga",
"Ciblas vidusskola","Ciblas vidusskola",3,89,"Daugavpils",
"Dagdas vidusskola","Dagdas vidusskola",19,281,"Daugavpils",
"Dakšāru pamatskola","Dakšāru pamatskola",1,45,"Daugavpils",
"Daugavpils 10.vidusskola","Daugavpils 10. vidusskola",14,460,"Daugavpils",
"Daugavpils 12.vidusskola","Daugavpils 12. vidusskola",9,374,"Daugavpils",
"Daugavpils 13. vidusskola","Daugavpils 13. vidusskola",18,384,"Daugavpils",
"Daugavpils 15.vidusskola","Daugavpils 15. vidusskola",31,406,"Daugavpils",
"Daugavpils 16.vidusskola","Daugavpils 16. vidusskola",8,381,"Daugavpils",
"Daugavpils 17.vidusskola","Daugavpils 17. vidusskola",1,133,"Daugavpils",
"Daugavpils 3.vidusskola","Daugavpils 3. vidusskola",23,440,"Daugavpils",
"Daugavpils 9. vidusskola","Daugavpils 9. vidusskola",23,364,"Daugavpils",
"Daugavpils Centra vidusskola","Daugavpils Centra vidusskola",16,317,"Daugavpils",
"Daugavpils Krievu vidusskola - licejs","Daugavpils Krievu vidusskola - licejs",87,453,"Daugavpils",
"Daugavpils Saskaņas pamatskola","Daugavpils Saskaņas pamatskola",34,243,"Daugavpils",
"Daugavpils Valsts ģimnāzija","Daugavpils Valsts ģimnāzija",20,299,"Daugavpils",
"Daugavpils Vienības pamatskola","Daugavpils Vienības pamatskola",3,202,"Daugavpils",
"Dobeles 1.vidusskola","Dobeles 1. vidusskola",12,411,"Rīga",
"Dobeles Valsts ģimnāzija","Dobeles Valsts ģimnāzija",21,0,"Rīga",
"Draudzīgā Aicinājuma Cēsu Valsts ģimnāzija","Draudzīgā Aicinājuma Cēsu Valsts ģimnāzija",31,0,"Rīga",
"Draudzīgā aicinājuma Liepājas pilsētas 5. vidusskola","Draudzīgā aicinājuma Liepājas pilsētas 5. vidusskola",23,652,"Liepāja",
"Dundagas vidusskola","Dundagas vidusskola",3,195,"Rīga",
"Emīla Dārziņa mūzikas vidusskola","Emīla Dārziņa mūzikas vidusskola",13,319,"Rīga",
"Engures vidusskola","Engures vidusskola",12,160,"Rīga",
"Ernsta Glika Alūksnes Valsts ģimnāzija","Ernsta Glika Alūksnes Valsts ģimnāzija",1,0,"Rīga",
"Ezernieku vidusskola","Ezernieku vidusskola",5,105,"Daugavpils",
"Ēveles pamatskola","Ēveles pamatskola",1,0,"Rīga",
