Vecums;Pavisam2011;Viriesi2011;Sievietes2011;Pavisam2012;Viriesi2012;Sievietes2012;Pavisam2013;Viriesi2013;Sievietes2013;Pavisam2014;Viriesi2014;Sievietes2014;Pavisam2015;Viriesi2015;Sievietes2015
"Pavisam";2074605;947939;1126666;2044813;934812;1110001;2023825;926580;1097245;2001468;917045;1084423;1986096;911207;1074889
"0";19229;9947;9282;18573;9535;9038;19713;10190;9523;20412;10384;10028;21674;11204;10470
"1";21444;10904;10540;19333;10044;9289;18744;9601;9143;19969;10337;9632;20809;10616;10193
"2";23255;11848;11407;21175;10795;10380;19150;9984;9166;18819;9660;9159;20066;10415;9651
"3";22578;11478;11100;22991;11713;11278;20947;10695;10252;19113;9954;9159;18820;9666;9154
"4";21363;10866;10497;22253;11344;10909;22717;11598;11119;20782;10603;10179;19017;9904;9113
"5";20520;10518;10002;21073;10737;10336;21966;11191;10775;22545;11514;11031;20682;10558;10124
"6";19327;9961;9366;20283;10402;9881;20907;10677;10230;21776;11098;10678;22407;11436;10971
"7";19775;10219;9556;19123;9875;9248;20090;10302;9788;20743;10591;10152;21685;11060;10625
"8";18868;9636;9232;19503;10081;9422;18937;9766;9171;19919;10210;9709;20633;10534;10099
"9";18375;9303;9072;18740;9579;9161;19340;10004;9336;18746;9670;9076;19835;10170;9665
"10";18994;9651;9343;18202;9228;8974;18572;9512;9060;19166;9927;9239;18584;9590;8994
"11";18021;9216;8805;18807;9563;9244;18036;9141;8895;18370;9411;8959;19010;9847;9163
"12";17095;8734;8361;17858;9156;8702;18675;9509;9166;17885;9070;8815;18272;9370;8902
"13";17461;9001;8460;16925;8655;8270;17761;9105;8656;18544;9433;9111;17791;9027;8764
"14";18238;9427;8811;17323;8936;8387;16761;8583;8178;17595;9019;8576;18435;9372;9063
"15";19897;10312;9585;18094;9359;8735;17200;8882;8318;16607;8511;8096;17494;8969;8525
"16";21743;11074;10669;19715;10224;9491;17947;9289;8658;17058;8807;8251;16495;8452;8043
"17";24033;12181;11852;21581;10991;10590;19555;10151;9404;17788;9206;8582;16951;8742;8209
"18";27882;14226;13656;23718;12048;11670;21375;10908;10467;19332;10037;9295;17644;9130;8514
"19";28810;14754;14056;27458;14080;13378;23556;11972;11584;21050;10756;10294;19210;9979;9231
