Teritorija;SkoleniPavisam2011;SkoleniZeni2011;SkoleniMeitenes2011;SkoleniPavisam2012;SkoleniZeni2012;SkoleniMeitenes2012;SkoleniPavisam2013;SkoleniZeni2013;SkoleniMeitenes2013;SkoleniPavisam2014;SkoleniZeni2014;SkoleniMeitenes2014;SkoleniPavisam2015;SkoleniZeni2015;SkoleniMeitenes2015
"LATVIJA";240382;122980;117402;229589;117695;111894;224249;115152;109097;221753;113892;107861;222829;114263;108566
"Rīgas reģions";61928;31620;30308;60032;30812;29220;60144;30953;29191;60937;31364;29573;62606;32196;30410
"Pierīgas reģions";45887;23519;22368;44448;22762;21686;43945;22547;21398;44003;22629;21374;44932;23013;21919
"Vidzemes reģions";27955;14254;13701;26085;13353;12732;24807;12698;12109;23835;12276;11559;23418;12057;11361
"Kurzemes reģions";35927;18356;17571;34129;17542;16587;32940;16948;15992;32102;16460;15642;31622;16202;15420
"Zemgales reģions";32706;16794;15912;30973;15871;15102;29820;15292;14528;29091;14866;14225;28902;14720;14182
"Latgales reģions";35979;18437;17542;33922;17355;16567;32593;16714;15879;31785;16297;15488;31349;16075;15274
"Rīga";61928;31620;30308;60032;30812;29220;60144;30953;29191;60937;31364;29573;62606;32196;30410
"Daugavpils";9574;4894;4680;9009;4578;4431;8911;4546;4365;8906;4540;4366;9050;4603;4447
"Jelgava";6899;3494;3405;6663;3340;3323;6597;3310;3287;6586;3304;3282;6717;3357;3360
"Jēkabpils";2992;1543;1449;2857;1480;1377;2750;1413;1337;2732;1385;1347;2763;1385;1378
"Jūrmala";5389;2775;2614;5210;2675;2535;5166;2666;2500;5158;2676;2482;5234;2705;2529
"Liepāja";9322;4756;4566;9017;4644;4373;8973;4608;4365;8831;4526;4305;8800;4502;4298
"Rēzekne";3708;1923;1785;3513;1806;1707;3405;1761;1644;3410;1773;1637;3415;1792;1623
"Valmiera";3048;1539;1509;2879;1483;1396;2763;1450;1313;2677;1401;1276;2682;1365;1317
