"Kods","RegNr","Regions","Nosaukums","Adrese","Epasts","Talrunis","DirektoraVards","DirektoraUzvards","Plusma","Izglitojamie","Urbanizacija"
101225,"1012902246","Jēkabpils","Jēkabpils pamatskola","RĪGAS IELA 200a, JĒKABPILS, LV-5202","lietvede@jekabpils-pamatskola.lv","65223901 29123353","SILVIJA","DREIMANE","Latviešu","753","lielpilseta"
101302,"1019900257","Jēkabpils","Jēkabpils Valsts ģimnāzija","BLAUMAŅA IELA 27, JĒKABPILS, LV-5200","jvg@jvg.edu.lv","65237550 29331948","VALERJANS","VIZULIS","Latviešu",520,"lielpilseta"
101303,"1013900258","Jēkabpils","Jēkabpils 2. vidusskola","JAUNĀ IELA 44, JĒKABPILS, LV-5201","skola@2vsk.edu.lv","65232303, 20364306","ALEKSANDRS","DEINIS","Krievu",607,"lielpilseta"
101304,"1013900259","Jēkabpils","Jēkabpils 3. vidusskola","SLIMNĪCAS IELA 5, JĒKABPILS, LV-5202","3.vidusskola@3vsk.jekabpils.lv","65237980, 29116873","VALDIS","OZOLIŅŠ","Latviešu",576,"lielpilseta"
101401,"1014900264","Jēkabpils","Jēkabpils vakara vidusskola","PALEJAS IELA 32, JĒKABPILS, LV-5202","info@jvv.lv","65231410, 20046547","AELITA","BĒRZIŅA","Latviešu",209,"lielpilseta"
251111,"2511902432","Valmiera","Valmieras Pārgaujas sākumskola","LĀČPLĒŠA IELA 2, VALMIERA, LV-4201","vps@valmiera.edu.lv","64235307","VIKTORS","LITAUNIEKS","Latviešu",588,"lielpilseta"
251112,"2511902507","Valmiera","Valmieras sākumskola","LĀČPLĒŠA IELA 2, VALMIERA, LV-4201","vs@valmiera.edu.lv","64224237","INGA","ZARIŅA-BOJĀRE","Latviešu",541,"lielpilseta"
251281,"2512803021","Valmiera","Pamatskola ""Universum""","MARIJAS IELA 14, VALMIERA, LV-4201","info@uni-versum.lv","28380104, 64221242","ANDIS","APSĪTIS","Latviešu",63,"lielpilseta"
251301,"2519902526","Valmiera","Valmieras Valsts ģimnāzija","LĀČPLĒŠA IELA 2, VALMIERA, LV-4201","valmgimn@valmiera.edu.lv","64222459","ARTŪRS","SKRASTIŅŠ","Latviešu",472,"lielpilseta"
251302,"2513901058","Valmiera","Valmieras 2. vidusskola","LĀČPLĒŠA IELA 2, VALMIERA, LV-4201","v2v@valmiera.edu.lv","64281559","ANDREJS","GLUHOVS","LK",514,"lielpilseta"
251303,"2513900631","Valmiera","Valmieras Viestura vidusskola","LĀČPLĒŠA IELA 2, VALMIERA, LV-4201","vvv@valmiera.edu.lv","64222436","ULDIS","JANSONS","Latviešu",773,"lielpilseta"
251304,"2516900630","Valmiera","Valmieras Pārgaujas ģimnāzija","LĀČPLĒŠA IELA 2, VALMIERA, LV-4201","vpg@valmiera.edu.lv","64235623","AGITA","ZARIŅA","Latviešu",519,"lielpilseta"
251305,"2513901081","Valmiera","Valmieras 5. vidusskola","RAIŅA IELA 3, VALMIERA, LV-4201","v5vadm@valmiera.edu.lv","64222443","RUDĪTE","MARKUS","Latviešu",395,"lielpilseta"
252501,"2520901175","Valmiera","Valmieras vājdzirdīgo bērnu internātvidusskola - attīstības centrs","LĀČPLĒŠA IELA 2, VALMIERA, LV-4201","vvbis_ac.kanc@valmiera.edu.lv","64207380","ANDRIS","TAURIŅŠ","Latviešu",135,"lielpilseta"
271203,"2712901237","Daugavpils","Daugavpils Saskaņas pamatskola","SAULES IELA 7, DAUGAVPILS, LV-5400","saskana@latg.lv","65425870","JEĻENA","VUCĒNA","LK",479,"lielpilseta"
271210,"2712902233","Daugavpils","Daugavpils Vienības pamatskola","ĢIMNĀZIJAS IELA 32, DAUGAVPILS, LV-5401","dvpsk@inbox.lv","65420449","EDĪTE","ZDANOVSKA","Latviešu",435,"lielpilseta"
271211,"2712902175","Daugavpils","Daugavpils 11. pamatskola","ARHITEKTU IELA 10, DAUGAVPILS, LV-5410","11vsk@daugavpils.apollo.lv","65441321, 65441303, 65441312","INA","MELDERE","Krievu",231,"lielpilseta"
271301,"2719902518","Daugavpils","Daugavpils Valsts ģimnāzija","CIETOKŠŅA IELA 33, DAUGAVPILS, LV-5403","dvg@dautkom.lv","65421216 65421633","GUNTA","MĀLNIECE","Latviešu",309,"lielpilseta"
271302,"2713901229","Daugavpils","Daugavpils Krievu vidusskola - licejs","TAUTAS IELA 59, DAUGAVPILS, LV-5404","licejs.dkl@apollo.lv","65431224, 65431076","IRINA","PAURA","Krievu",705,"lielpilseta"
