School,Municipality
Priežmalas pamatskola,Aglonas novads
Šķeltovas pamatskola,Aglonas novads
Aglonas vidusskola,Aglonas novads
Aglonas Katoļu ģimnāzija,Aglonas novads
Aglonas internātvidusskola,Aglonas novads
Aizkraukles 1. vidusskola,Aizkraukles novads
Aizkraukles Vakara (maiņu) vidusskola,Aizkraukles novads
Aizkraukles novada ģimnāzija,Aizkraukles novads
Aizkraukles Profesionālā vidusskola,Aizkraukles novads
Aizputes pagasta pamatskola,Aizputes novads
Apriķu pamatskola,Aizputes novads
Dzērves pamatskola,Aizputes novads
Kalvenes pamatskola,Aizputes novads
Māteru Jura Kazdangas pamatskola,Aizputes novads
Aizputes vidusskola,Aizputes novads
Aizputes novada Neklātienes vidusskolas Aizputes konsult. punkts,Aizputes novads
Cīravas Profesionālā vidusskola,Aizputes novads
Aizputes novada Neklātienes vidusskolas Cīravas konsult. punkts,Aizputes novads
Aizputes novada Neklātienes vidusskolas Grobiņas konsult. punkts,Aizputes novads
Aizputes novada Neklātienes vidusskolas Nīcas konsultpunkts,Aizputes novads
Asares pamatskola,Aknīstes novads
Aknīstes vidusskola,Aknīstes novads
Ozolmuižas pamatskola,Alojas novads
Puikules pamatskola,Alojas novads
Alojas Ausekļa vidusskola,Alojas novads
Staiceles vidusskola,Alojas novads
Alsungas vidusskola,Alsungas novads
Bejas pamatskola,Alūksnes novads
Ilzenes pamatskola,Alūksnes novads
Jaunlaicenes pamatskola,Alūksnes novads
Malienas pamatskola,Alūksnes novads
Mālupes pamatskola,Alūksnes novads
Mārkalnes pamatskola,Alūksnes novads
Strautiņu pamatskola,Alūksnes novads
Ziemeru pamatskola,Alūksnes novads
Jaunannas Mūzikas un mākslas pamatskola,Alūksnes novads
Pededzes pamatskola,Alūksnes novads
Liepnas vidusskola,Alūksnes novads
Alūksnes novada vidusskola,Alūksnes novads
Ernsta Glika Alūksnes Valsts ģimnāzija,Alūksnes novads
Alsviķu Profesionālā skola,Alūksnes novads
Liepnas internātpamatskola,Alūksnes novads
Amatas pamatskola,Amatas novads
Sērmūkšu pamatskola,Amatas novads
Skujenes pamatskola,Amatas novads
Zaubes pamatskola,Amatas novads
Nītaures vidusskola,Amatas novads
Drabešu internātpamatskola,Amatas novads
"Sikšņu pamatskola (Apes nov.)",Apes novads
Trapenes pamatskola,Apes novads
Dāvja Ozoliņa Apes vidusskola,Apes novads
Ojāra Vācieša Gaujienas vidusskola,Apes novads
Gaujienas speciālā internātpamatskola,Apes novads
Auces vidusskola,Auces novads
Bēnes vidusskola,Auces novads
Privātā vidusskola Ādažu Brīvā Valdorfa skola,Ādažu novads
"Ādažu Valdorfa skola",Ādažu novads
Ādažu vidusskola,Ādažu novads
Babītes vidusskola,Babītes novads
Baldones Mūzikas pamatskola,Baldones novads
Baldones vidusskola,Baldones novads
Baltinavas vidusskola,Baltinavas novads
Briežuciema pamatskola,Balvu novads
Stacijas pamatskola,Balvu novads
Balvu pamatskola,Balvu novads
Balvu Amatniecības vidusskola,Balvu novads
Bērzpils vidusskola,Balvu novads
